Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
86,0.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.36,0.00,0.36,10.00,0.00,10.00
87,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.36,0.00,0.36
87,0.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.36,0.00,0.36,10.00,0.00,10.00
88,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.36,0.00,0.36
88,0.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.37,0.00,0.37,10.00,0.00,10.00
89,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.37,0.00,0.37
89,0.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.37,0.00,0.37,10.00,0.00,10.00
90,0.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.37,0.00,0.37
90,0.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.37,0.00,0.37,10.00,0.00,10.00
91,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.37,0.00,0.37
91,0.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.38,0.00,0.38,10.00,0.00,10.00
92,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.38,0.00,0.38
92,0.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.38,0.00,0.38,10.00,0.00,10.00
93,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.38,0.00,0.38
93,0.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.38,0.00,0.38,10.00,0.00,10.00
94,0.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.38,0.00,0.38
94,0.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.39,0.00,0.39,10.00,0.00,10.00
95,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.39,0.00,0.39
95,0.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.39,0.00,0.39,10.00,0.00,10.00
96,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.39,0.00,0.39
96,0.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.39,0.00,0.39,10.00,0.00,10.00
97,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.39,0.00,0.39
97,0.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.40,0.00,0.40,10.00,0.00,10.00
98,0.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.40,0.00,0.40
98,0.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.40,0.00,0.40,10.00,0.00,10.00
99,0.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.40,0.00,0.40
99,0.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.41,0.00,0.41,10.00,0.00,10.00
100,0.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.41,0.00,0.41
100,0.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.41,0.00,0.41,10.00,0.00,10.00
101,0.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.41,0.00,0.41
101,0.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.41,0.00,0.41,10.00,0.00,10.00
102,0.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.41,0.00,0.41
102,0.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.42,0.00,0.42,10.00,0.00,10.00
103,0.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.42,0.00,0.42
